BN	begin	middle	end
অ	o	o	o
আ	a,aa	a	a
ই	i	i	i
ঈ	i	i	i
উ	u	u	u
ঊ	u	u	u
ঋ	ri,rri	ri,rri	ri,rri
এ	e,a	e,a	e,a
ঐ	oi	oi	oi
ও	o,oo	o,oo	o,oo
ঔ	ou	ou	ou
ক	ko,ka	k	k
খ	kho	kh	kh
গ	go,ga	g	g
ঘ	gho,gha	gh	gh
ঙ	ng	ng	ng
চ	cho,cha	ch	ch
ছ	cho,cha	ch	ch
জ	jo,ja	j	j
ঝ	jho,jha	jh	jh
ঞ	no,na	n	n
ট	to,ta	t	t
ঠ	tho,tha	th	th
ড	do,da	d	d
ঢ	dho,dha	dh	dh
ণ	n,na	n	n
ত	to,ta	t	t
থ	tho,tha	th	th
দ	do,da	d	d
ধ	dho,dha	dh	dh
ন	no,na	n	n
প	po,pa	p	p
ফ	fo,fa	f	f
ব	bo,ba	b	b
ভ	vo,va	v	v
ম	mo	m	m
য	zo,za	z	z
র	ro,ra	r	r
ল	lo,la	l	l
শ	sho,sha	sh	sh
ষ	sho,sha	sh	sh
স	so,sa	s	s
হ	ho,ha	h	h
ড়	ro,ra	r	r
ঢ়	ro,ra	r	r
ৎ	t	t	t
ঁ	n	n	n
ং	ng	ng	ng
ঃ			
া	a	a	a
ি	i	i	i
ী	i	i	i
ু	u	u	u
ূ	u	u	u
ে	e	e	e
ো	o	o	o
ৈ	oi	oi	oi
ৌ	ou	ou	ou
ৃ	ri	ri	ri
য়	y	y	y
১	1	1	1
২	2	2	2
৩	3	3	3
৪	4	4	4
৫	5	5	5
৬	6	6	6
৭	7	7	7
৮	8	8	8
৯	9	9	9
০	0	0	0
