kore	করে
rakha	রাখা
hoyeche	হয়েছে
dupure	দুপুরে
ekti	একটি
dehoke	দেহকে
choranor	চড়ানোর
age	আগে
shirocched	শিরশ্ছেদ
kora	করা
hoyeche	হয়
ullash	উল্লাস
korcchilo	করছিল
ashepashe	আশপাশে
joro	জড়ো
howa	হওয়া
senara	সেনারা
othocho	অথচ
sottor	সত্তর
bochor	বছর
zokhon	যখন
jokhon	যখন
jonmo	জন্ম
grohon	গ্রহণ
korechilen	করেছিলেন
tokhon	তখন
bohu	বহু
hoyechilo	হয়েছিল
pothe	পথে
prantore	প্রান্তরে
olite	অলিতে
golite	গলিতে
karon	কারণ
tini	তিনি
chilen	ছিলেন
poribare	পরিবারে
jonmo	জন্ম
neoya	নেওয়া
prothom	প্রথম
shishu	শিশু
aj	আজ
tar	তার
mrittui	মৃত্যুই
esob	এসব
hocchilo	হচ্ছিলো
zar	যার
adeshe	আদেশে
niyomer	নিয়মের
zeno	যেন
kono	কোনো
na	না
kothao	কোথাও
chorom	চরম
grinakarirao	ঘৃণাকারীরাও
abar	আবার
take	তাকে
buddhiman	বুদ্ধিমান
chomotkar	চমৎকার
bokta	বক্তা
hisebe	হিসেবে
ovihito	অভিহিত
kintu	কিন্তু
ekoi	একই
eki	এিক
sathe	সাথে
proti	প্রতি
rat	রাত
katto	কাটতো
kata	কাটা
pore	পড়ে
pore	পরে
emonki	এমনকি
ajker	আজকের
zuge	যুগে
naki	নাকি
nam	নাম
elahi	ইলাহি
elahi	এলাহি
lekhate	লেখাতে
hobe	হবে
kharaper	খারাপের
talikay	তালিকায়
e	এ
bitorko	বিতর্ক
choleche	চলেছে
din	দিন
namajo	নামাজও
porten	পড়তেন
aday	আদায়
korechen	করেছেন
bole	বলে
firoja	ফিরোজা
gazi	গাজি
gokul	গোকুল
gonda	গোন্ডা
guljar	গুলজার
gyanendra	গনেন্দ্র
habib	হাবীব
hablu	হাবলু
ullekh	উল্লেখ
ache	আছে
mrittu	মৃত্যু
kivabe	কীভাবে
janen	জানেন
ki	কি
poribar	পরিবার
khub	খুব
ekta	একটা
orthoban	অর্থবান
orthohin	অর্থহীন
chilo	ছিল
doridroi	দরিদ্রই
bola	বলা
chole	চলে
hoye	হয়ে
thake	থাকে
nij	নিজ
bot	বট
shohor	শহর
chere	ছেড়ে
rajdhani	রাজধানী
zan	যান
ete	এতে
khusi	খুশি
kholifa	খলিফা
malik	মালিক
dayitto	দায়িত্ব
peye	পেয়ে
aro	আরো
chomok	চমক
dola	দোলা
dekhan	দেখান
jor	জড়
biruddhe	বিরুদ্ধে
zuddho	যুদ্ধ
korte	করতে
greftar	গ্রেফতার
kholifar	খলিফার
birodhi	বিরোধী
howay	হওয়ায়
nijer	নিজের
humki	হুমকি
sokol	সকল
hou	হও
dabi	দাবি
tyag	ত্যাগ
devi	দেবী
devirani	দেবীরানী
dharani	ধরণী
dharanidhar	ধরনীধর
iccha	ইচ্ছা
moton	মতন
zekhane	যেখানে
icche	ইচ্ছে
zaoya	যাওয়া
porzonto	পর্যন্ত
lorai	লড়াই
mrittute	মৃত্যুতে
ami	আমি
dana	ডানা
shanti	শান্তি
khuje	খুঁজে
pabo	পাবো
amar	আমার
lokera	লোকেরা
amake	আমাকে
geche	গেছে
nei	নেই
tomar	তোমার
obostha	অবস্থা
tumi	তুমি
theke	থেকে
valo	ভালো
jano	জানো
zeta	যেটা
bolbo	বলব
sheta	সেটা
zoto	যত
din	দিন
holo	হলো
songider	সঙ্গীদের
moto	মতো
egiye	এগিয়ে
zao	যাও
shohid	শহীদ
how	হও
duniya	দুনিয়া
te	তে
beche	বেঁচে
thakbar	থাকবার
bojhano	বোঝানো
ar	আর
agroho	আগ্রহ
asha	আশা
porokal	পরকাল
niye	নিয়ে
sara	সারা
jibon	জীবন
sotyer	সত্যের
chilam	ছিলাম
sindhi	সিন্ধি
sindhu	সিন্ধু
sona	সোনা
sri	শ্রী
stupa	স্তুপ
subesh	সুবেশ
subha	সুভা
kebol	কেবল
apnar	আপনার
motamot	মতামত
niyechi	নিয়েছি
jordar	জোরদার
porajito	পরাজিত
osonkho	অসংখ্য
lokke	লোককে
pran	প্রাণ
dhongsho	ধ্বংস
zug	যুগ
korecho	করেছ
bote	বটে
se	সে
